,Source,Target,Weight
196,#mentalhealthawarenessmonth,wellness,1127
197,#mentalhealthawarenessmonth,keep,1123
198,#mentalhealth,us,1120
199,mental,make,1107
200,year,mental,1106
201,#mentalhealthawarenessmonth,anyone,1104
202,take,time,1102
203,#mentalhealthawarenessmonth,💚,1098
204,physical,mental,1097
205,mental,wellness,1095
206,#mentalhealth,awareness,1091
207,good,health,1087
208,#mentalhealthawarenessmonth,lets,1086
209,get,health,1084
210,#mentalhealthawarenessmonth,family,1084
211,health,feel,1082
212,good,mental,1080
213,#mentalhealthawarenessmonth,pandemic,1076
214,#mentalhealthawarenessmonth,sharing,1069
215,#mentalhealthawarenessmonth,honor,1065
216,#mentalhealthawarenessmonth,even,1065
217,health,join,1064
218,health,life,1063
219,#mentalhealthawarenessmonth,last,1060
220,#mentalhealthawarenessmonth,1,1058
221,#mentalhealthawarenessmonth,hope,1055
222,health,make,1049
223,#mentalhealthawarenessmonth,taking,1047
224,#mentalhealthawarenessmonth,something,1038
225,can,support,1034
226,#mentalhealthawarenessmonth,suicide,1031
227,#mentalhealthawarenessmonth,struggling,1028
228,#mentalhealth,month,1023
229,mental,many,1022
230,#mentalhealthawarenessmonth,end,1022
231,may,us,1020
232,#mentalhealth,people,1020
233,#mentalhealthawarenessmonth,students,1019
234,#mentalhealthawarenessmonth,feeling,1015
235,#mentalhealthawarenessmonth,still,1013
236,#mentalhealthawarenessmonth,via,1013
237,#mentalhealthawarenessmonth,really,1011
238,#mentalhealthawarenessmonth,think,1004
239,#mentalhealthawarenessmonth,youre,998
240,#mentalhealth,support,994
241,#mentalhealthmonday,help,994
242,mental,tips,988
243,support,amp,985
244,#mentalhealthawarenessmonth,story,974
245,#mentalhealthawarenessmonth,therapy,972
246,#mentalhealthawarenessmonth,best,972
247,get,help,971
248,support,help,969
249,us,help,968
250,#mentalhealthmonday,amp,968
251,#mentalhealthawarenessmonth,physical,966
252,#mentalhealthawarenessmonth,let’s,955
253,#mentalhealthawarenessmonth,services,953
254,health,wellbeing,952
255,#mentalhealthawarenessmonth,needs,948
256,#mentalhealthawarenessmonth,start,947
257,health,tips,946
258,#mentalhealthawarenessmonth,let,941
259,#mentalhealthmonth,#mentalhealth,940
260,#mentalhealthawarenessmonth,loved,940
261,health,many,937
262,#mentalhealthmatters,may,935
263,#mentalhealthawarenessmonth,ok,935
264,#mentalhealthawareness,can,929
265,#mentalhealthawarenessmonth,you’re,928
266,health,services,924
267,may,support,922
268,year,health,920
269,around,mental,916
270,love,mental,913
271,#mentalhealthawarenessmonth,conversation,912
272,us,amp,911
273,#mentalhealthmonday,#mentalhealthawareness,909
274,#mentalhealthmatters,can,908
275,#mentalhealthawarenessmonth,available,904
276,mental,share,904
277,#mentalhealthawarenessmonth,look,902
278,#mentalhealthawarenessmonth,back,902
279,#mentalhealthawarenessmonth,#breakthestigma,901
280,1,mental,901
281,take,can,897
